display,pair,market,side,entry,stop,take_profit,rr,accuracy_pct
Goldman Sachs (GS),GS,stock,long,1047.30004883,1014.828099,1112.243948,2.0,89.9
AT&T,T,stock,short,23.62000084,23.913,23.034003,2.0,87.8
PepsiCo (PEP),PEP,stock,short,142.82499695,145.463497,137.547997,2.0,85.1
Morgan Stanley (MS),MS,stock,long,211.15499878,206.038826,221.387344,2.0,84.2
Qualcomm (QCOM),QCOM,stock,long,250.03999329,240.649911,268.820158,2.0,82.3
Совкомфлот (FLOT.ME),FLOT.ME,stock,long,85.16,84.42134,86.63732,2.0,80.9
Eli Lilly (LLY),LLY,stock,long,1092.16003418,1080.928063,1114.623977,2.0,78.4
Юнипро (UPRO.ME),UPRO.ME,stock,short,1.253,1.25935,1.2403,2.0,77.8
TSMC,TSM,stock,long,440.67999268,433.744052,454.551874,2.0,76.7
Oracle (ORCL),ORCL,stock,long,230.1000061,224.401553,245.649994,2.73,76.5
IBM,IBM,stock,long,307.89001465,278.699035,366.271974,2.0,76.3
Ethereum Classic (ETC/USDT),ETC/USDT,crypto,short,7.78999996,7.86938,7.63124,2.0,75.0
Litecoin (LTC/USDT),LTC/USDT,crypto,short,47.66999817,48.102628,46.259998,3.26,74.0
The Sandbox (SAND/USDT),SAND/USDT,crypto,short,0.0622,0.062983,0.0601,2.68,74.0
Avalanche (AVAX/USDT),AVAX/USDT,crypto,short,8.11999989,8.27345,7.8131,2.0,73.8
Chainlink (LINK/USDT),LINK/USDT,crypto,short,8.29199982,8.458594,7.958811,2.0,73.5
НЛМК (NLMK.ME),NLMK.ME,stock,short,78.58,78.96976,77.80048,2.0,72.3
Bitcoin (BTC/USDT),BTC/USDT,crypto,short,65820.4765625,67528.077358,62405.274972,2.0,71.7
Мосбиржа (MOEX.ME),MOEX.ME,stock,long,179.3,177.5807,182.7386,2.0,71.4
Solana (SOL/USDT),SOL/USDT,crypto,short,73.01999664,75.912311,67.235368,2.0,71.2
Ethereum (ETH/USDT),ETH/USDT,crypto,short,1825.07995605,1894.364906,1686.510056,2.0,71.1
Aave (AAVE/USDT),AAVE/USDT,crypto,short,75.09999847,76.76224,71.775515,2.0,71.1
Celestia (TIA/USDT),TIA/USDT,crypto,short,0.3741,0.3837,0.3508,2.43,71.0
XRP (XRP/USDT),XRP/USDT,crypto,short,1.21969998,1.233886,1.1883,2.21,70.8
ФосАгро (PHOR.ME),PHOR.ME,stock,short,6209.0,6237.47318,6152.05364,2.0,70.7
Polkadot (DOT/USDT),DOT/USDT,crypto,short,1.10599995,1.12121,1.07558,2.0,70.0
Decentraland (MANA/USDT),MANA/USDT,crypto,short,0.0797,0.0806,0.0779,2.0,70.0
Super Micro (SMCI),SMCI,stock,long,46.5,41.27163,56.95674,2.0,70.0
Walmart (WMT),WMT,stock,long,116.37999725,113.754097,121.631798,2.0,70.0
РУСАЛ (RUAL.ME),RUAL.ME,stock,long,38.105,37.42814,39.45872,2.0,69.8
Лукойл (LKOH.ME),LKOH.ME,stock,short,4907.0,4926.843,4867.314,2.0,69.5
Cardano (ADA/USDT),ADA/USDT,crypto,short,0.2095,0.21548,0.19754,2.0,69.0
UnitedHealth (UNH),UNH,stock,long,383.04501343,380.693403,387.748234,2.0,68.7
ВТБ (VTBR.ME),VTBR.ME,stock,short,77.36,78.07716,75.475,2.63,68.6
Home Depot (HD),HD,stock,short,311.75,313.799844,307.650312,2.0,67.5
BNB (BNB/USDT),BNB/USDT,crypto,short,625.71002197,651.800072,573.529922,2.0,67.3
AMD,AMD,stock,long,540.19000244,522.83059,574.908827,2.0,67.2
Intel (INTC),INTC,stock,long,112.23999786,108.952238,118.815518,2.0,67.0
Apple (AAPL),AAPL,stock,long,309.36999512,307.547721,313.014543,2.0,66.7
NEAR Protocol (NEAR/USDT),NEAR/USDT,crypto,long,2.78999996,2.65968,3.05064,2.0,66.3
